seri;model;titles;year;km;color;prices;date;location
Cayman;Cayman;BAY__ ÇIKI_LI-87.5_00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;_stanbul Sarıyer
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOT_V'DEN SO_UTMA+21""JANT+BOSE_+A_RMAT_C+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;08Mart2023;_stanbul Ba_cılar
Cayman;Cayman;BAY__ ÇIKI_LI-87.5_00KM-PORSCHE CAYMAN-2.9-PDK -265HP-CHRONO;2011;87.500;Füme;2.225.500 TL;29Mart2023;_stanbul Sarıyer
Panamera;Panamera 4S Diesel;"SÜRMENE OTOMOT_V'DEN SO_UTMA+21""JANT+BOSE_+A_RMAT_C+TURBOKANAT";2017;87.500;Siyah;9.499.900 TL;08Mart2023;_stanbul Ba_cılar
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAY_;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;_stanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAY_;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;_stanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAY_;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;_stanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAY_;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;_stanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAY_;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;_stanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAY_;2007;86.150;Lacivert;4.825.000 TL;16Nisan2023;_stanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAY_;2007;86.150;Lacivert;4.825.000 TL;17Mart2023;_stanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAY_;2007;86.150;Lacivert;4.695.000 TL;17Mart2023;_stanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAY_;2007;86.150;Lacivert;4.695.000 TL;17Mart2023;_stanbul Sarıyer
911;Turbo;BAVARIA GARAGE 2007 86.150 km PORSCHE 997 TURBO BAY_;2007;86.150;Lacivert;4.695.000 TL;17Mart2023;_stanbul Sarıyer
Panamera;Panamera Diesel;2014 MODEL BAY_ ÇIKI_LI MAKYAJLI 85.000KM'DE DI_ FÜME _Ç_ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAY_ ÇIKI_LI MAKYAJLI 85.000KM'DE DI_ FÜME _Ç_ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAY_ ÇIKI_LI MAKYAJLI 85.000KM'DE DI_ FÜME _Ç_ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAY_ ÇIKI_LI MAKYAJLI 85.000KM'DE DI_ FÜME _Ç_ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAY_ ÇIKI_LI MAKYAJLI 85.000KM'DE DI_ FÜME _Ç_ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAY_ ÇIKI_LI MAKYAJLI 85.000KM'DE DI_ FÜME _Ç_ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAY_ ÇIKI_LI MAKYAJLI 85.000KM'DE DI_ FÜME _Ç_ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAY_ ÇIKI_LI MAKYAJLI 85.000KM'DE DI_ FÜME _Ç_ KAHVE;2014;85.950;Füme;4.425.000 TL;12Nisan2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAY_ ÇIKI_LI MAKYAJLI 85.000KM'DE DI_ FÜME _Ç_ KAHVE;2014;85.950;Füme;4.425.000 TL;13Mart2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAY_ ÇIKI_LI MAKYAJLI 85.000KM'DE DI_ FÜME _Ç_ KAHVE;2014;85.950;Füme;4.425.000 TL;13Mart2023;Ankara Etimesgut
Panamera;Panamera Diesel;2014 MODEL BAY_ ÇIKI_LI MAKYAJLI 85.000KM'DE DI_ FÜME _Ç_ KAHVE;2014;85.950;Füme;4.425.000 TL;13Mart2023;Ankara Etimesgut
911;Carrera 4S;Porsche 911 Carrera 4S;2010;84.800;Siyah;4.400.000 TL;22Mart2023;_stanbul Kadıköy
911;Carrera 4S;Porsche 911 Carrera 4S;2010;84.800;Siyah;4.400.000 TL;22Mart2023;_stanbul Kadıköy
911;Carrera 4S;Porsche 911 Carrera 4S;2010;84.800;Siyah;4.400.000 TL;22Mart2023;_stanbul Kadıköy
911;Carrera 4S;Porsche 911 Carrera 4S;2010;84.800;Siyah;4.400.000 TL;22Mart2023;_stanbul Kadıköy
911;Carrera 4S;Porsche 911 Carrera 4S;2010;84.800;Siyah;4.400.000 TL;22Mart2023;_stanbul Kadıköy
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAY__ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;23Nisan2023;_stanbul Be_ikta_
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAY__ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;_stanbul Be_ikta_
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAY__ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;_stanbul Be_ikta_
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAY__ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;_stanbul Be_ikta_
Cayman;Cayman;TARGET MOTORS 2014 PORSCHE CAYMAN 2.7 PDK BAY__ HATASIZ;2014;83.500;Beyaz;3.200.000 TL;24Mart2023;_stanbul Be_ikta_
Cayman;Cayman;TERTEM_Z KUSURSUZ BAY_;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;_stanbul Gaziosmanpa_a
Cayman;Cayman;TERTEM_Z KUSURSUZ BAY_;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;_stanbul Gaziosmanpa_a
Cayman;Cayman;TERTEM_Z KUSURSUZ BAY_;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;_stanbul Gaziosmanpa_a
Cayman;Cayman;TERTEM_Z KUSURSUZ BAY_;2014;83.500;Beyaz;3.250.000 TL;26Mart2023;_stanbul Gaziosmanpa_a
