seri,model,titles,year,km,color,prices,date,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location""",Il,Ilce,id,km_median,km / median
Boxster,Boxster,"2013 PORSCHE BOXSTER BAYİ ""51.000KM""SİYAH/BEJ 20JANT+PDK HATASIZ",2013,5139,Siyah,3200000,28/03/2023,,İzmir,Konak,41,1685.0,3.049851632047478
Cayman,S,TARGET MOTORS PORSCHE CAYMAN S 3.4 295 HP HATASIZ BAYİ,2007,1580,Gri,1750000,28/03/2023,,İstanbul,Beşiktaş,40,1300.0,1.2153846153846153
Panamera,Panamera Diesel,2012 PANAMERA BAYİ PUSULA YENİ TİP DİREKSİYON/ /VAKUM/BOSE,2012,1390,Siyah,2975000,28/03/2023,,İstanbul,Küçükçekmece,40,1970.0,0.7055837563451777
Taycan,4S Performance Plus,KAPALI GARAJ ARACI - BAYI CIKISLI - TAKAS YOK,2020,25,Füme,6150000,28/03/2023,,İzmir,Karşıyaka,41,260.0,0.09615384615384616
Taycan,GTS,HOCKENHEİMRİNG EDİTİON-1 OF 500-ÖZEL TASARIM-AÇIKLAMAYI OKUYUNUZ,2022,64,Bej,8500000,28/03/2023,,İzmir,Bayraklı,41,1001.0,0.06393606393606394
Panamera,Panamera Diesel,**TAKASA UYGUN**ORJİNAL 174 BİNDE~AİR~PUSU­LA~ÇİFT~NAVİ~,2012,1740,Siyah,2550000,28/03/2023,,Eskişehir,Çifteler,32,1970.0,0.883248730964467
911,Carrera 4S,BAVARIA GARAGE 2011 131.000 km PORSCHE CARRERA 4S BAYİ,2011,1310,Siyah,3995000,28/03/2023,,İstanbul,Sarıyer,40,1680.0,0.7797619047619048
Taycan,4S Performance Plus,EFH MOTORS TAN HATASIZ BAYİ 2020 ÖZEL SİPARİŞ,2020,7561,Gri,7561000,28/03/2023,,İstanbul,Ataşehir,40,260.0,29.08076923076923
Panamera,Panamera Diesel,FH MOTORS'DAN 2012 PANAMERA DİZEL TAM ÖTV PUSULA+SOĞU­TMA+KIRMIZI,2012,2120,Siyah,2250000,28/03/2023,,İstanbul,Bağcılar,40,1970.0,1.0761421319796953
Panamera,Panamera Turbo S E-Hybrid,QUEEN'S AUTO PANAMERA TURBO S E-HYBRİD YABANCIDAN YABANCIYA,2018,540,Siyah,3000000,28/03/2023,,İstanbul,Bakırköy,40,490.0,1.1020408163265305
Taycan,4S Cross Turismo,2022 hatasız boyasız ful+ful ithal,2022,6001,Siyah,6550000,28/03/2023,,Mardin,Artuklu,57,1001.0,5.995004995004995
Taycan,4S Performance Plus,YENİKÖY MOTORS 2020 TAYCAN 4S PLUS - SOĞUTMA - DISPLAY - BAYİ,2020,73,Siyah,6100000,28/03/2023,,İstanbul,Sarıyer,40,260.0,0.28076923076923077
Boxster,Boxster,"""OTOROLL"" 2014 PORSCHE BOXSTER 2.7 PDK HATASIZ BOYASIZ",2014,1700,Beyaz,2750000,28/03/2023,,İstanbul,Bakırköy,40,1420.0,1.1971830985915493
Taycan,Taycan,'X-CLUSIVE' 2021 TAYCAN TAM ÖTV-BOYASIZ,2021,190,Siyah,4900000,28/03/2023,,İstanbul,Sarıyer,40,180.0,1.0555555555555556
Panamera,Panamera Diesel,SEFA AUTOMOBILES 2013 PANAMERA DIESEL PLATİNİUM EDİTİON BOYASIZ,2013,1190,Beyaz,3750000,27/03/2023,,İstanbul,Beykoz,40,1685.0,0.7062314540059347
Panamera,Panamera 4 Platinum Edition,ONE1CAR 2022 PORSCHE PANAMERA 4 PLATINUM EDITION BEIGE LEATHER,2022,6001,Siyah,11690000,27/03/2023,,İstanbul,Sarıyer,40,1001.0,5.995004995004995
Panamera,Panamera 4 Platinum Edition,ONE1CAR 2022 PORSCHE PANAMERA 4 PLATINUM EDITION COHIBA LEATHER,2022,601,Siyah,12450000,27/03/2023,,İstanbul,Sarıyer,40,1001.0,0.6003996003996004
Panamera,Panamera 4 E-Hybrid,ONE1CAR 2022 PORSCHE PANAMERA 4-E HYBRİD PLATİNUM EDİTİON,2022,6001,Siyah,12100000,27/03/2023,,İstanbul,Sarıyer,40,1001.0,5.995004995004995
Panamera,Panamera 4,2021 ÇIKIŞLI-PANAMERA 4 EXECUTİVE-LONG-BUSİN­ESS-BAYİ-8.000KM-FUL,2020,8695,Siyah,11950000,27/03/2023,,Trabzon,Akçaabat,75,260.0,33.44230769230769
Panamera,Panamera Diesel,BAYİ ÇIKIŞLI DOĞUŞ BAKIMLI 2012 PANEMARA ARKA KLİMA BOYASIZ,2012,1730,Siyah,3200000,27/03/2023,,Kocaeli,İzmit,52,1970.0,0.8781725888324873
Panamera,Panamera 4 E-Hybrid,STELLA MOTORS 2022 PORSCHE PANAMERA GRAND TURISMO 4 E-Hybrid,2022,6001,Beyaz,15750000,27/03/2023,,İstanbul,Beykoz,40,1001.0,5.995004995004995
Panamera,Panamera 4S,SS MOTORS BAYİ 2013 PANAMERA 4S-SPOR EGZOZ-CHRONO -SOĞUTMA-360,2013,84214,Beyaz,4550000,27/03/2023,,İstanbul,Şişli,40,1685.0,49.9786350148368
911,Carrera 4,SS MOTORS BAYİ 2010 PORSCHE 911 CARRERA 4-CHRONO-BOSE- 36.541 KM,2010,36541,Siyah,4350000,27/03/2023,,İstanbul,Şişli,40,1420.0,25.733098591549297
Panamera,Panamera 4S Diesel,2026 YILINA KADAR DOĞUŞ GARANTİLİ,2016,980,Siyah,10900000,27/03/2023,,Elazığ,Merkez,29,700.0,1.4
911,Carrera 4,Sahibinden Çok Temiz Carrera 4 Doğuş Çıkışlı,2001,1210,Füme,1925000,27/03/2023,,Çanakkale,Merkez,22,1300.0,0.9307692307692308
Taycan,Taycan,BAYİ 2022 TAYCAN P.PLUS 476 HP_A.AKS_SOGUTMA_­BOSE_AIR_Y.EKRAN,2022,7385,Siyah,6150000,27/03/2023,,İstanbul,Kadıköy,40,1001.0,7.3776223776223775
718,Boxster,TARGET MOTORS PORSCHE 718 BOXSTER CHRONO BAYİ 2023 GARANTİLİ,2017,380,Gri,4500000,27/03/2023,,İstanbul,Beşiktaş,40,850.0,0.4470588235294118
Panamera,Panamera Diesel,TERTEMİZ PANAMERA 2012 EN FULL MODELİDİR GIRTLAK DOLU,2012,2510,Gümüş Gri,2870000,27/03/2023,,İstanbul,Pendik,40,1970.0,1.2741116751269035
Boxster,Boxster,"YETKİLİ BAYİ YC MOTORS'DAN 2013 PORSCHE BOXSTER 2.7 PDK 265HP
Yetkili Bayi",2013,100682,Beyaz,3000000,27/03/2023,,Eskişehir,Odunpazarı,32,1685.0,59.75192878338279
Panamera,Panamera 4,2011 Porsche Panamera 4 GTS Paket Bayi Çıkış,2011,1780,Gri,2350000,27/03/2023,,İstanbul,Beykoz,40,1680.0,1.0595238095238095
911,Carrera 4S,ALKAN AŞ 2019 PORSCHE 911 4S CABRIO-SOĞUTMA-SPOR EGZOZ-BOSE,2019,10154,Beyaz,13500000,27/03/2023,,Ankara,Gölbaşı,7,320.0,31.73125
Panamera,Panamera Diesel,Bundan temizi yok full+full hatasız boyasız,2012,980,Beyaz,3350000,27/03/2023,,İstanbul,Sarıyer,40,1970.0,0.49746192893401014
Panamera,Panamera Diesel,AGT AUTO'dan Panemera Platinum Edition,2013,2290,Beyaz,3400000,27/03/2023,,Batman,Merkez,14,1685.0,1.3590504451038576
Panamera,Panamera Diesel,BAYİİ 2013 MODEL 2014 ÇIKIŞLI 96000KM HATASIZ MAKYAJLI KASA,2013,985,Beyaz,4350000,27/03/2023,,Antalya,Alanya,8,1685.0,0.5845697329376854
Taycan,4S Performance Plus,BURAKLADA 2021 TAYCAN 4S PERFORMANCE PLUS,2021,25975,Siyah,5170000,27/03/2023,,İstanbul,Bağcılar,40,180.0,144.30555555555554
Taycan,4S Performance Plus,Şarj İstasyonu Hediye Garantili Hatasız Full,2020,350,Siyah,5000000,27/03/2023,,İstanbul,Kartal,40,260.0,1.3461538461538463
Panamera,Panamera Diesel,BGR AUTO'DAN /HATASIZ/PORSCHE PANEMERA,2012,1510,Beyaz,3400000,27/03/2023,,İstanbul,Çekmeköy,40,1970.0,0.766497461928934
Panamera,Panamera Diesel,BGR AUTO'DAN 2012 MODEL PORSCHE PANAMERA DIESEL,2012,1330,Siyah,3500000,27/03/2023,,İstanbul,Çekmeköy,40,1970.0,0.6751269035532995
Taycan,Turbo S,BAYİ ÇIKIŞLI - %18KDV'Lİ 2026'YA GARANTİLİ HATASIZ FULL TURBO S,2020,141,Gri,10250000,27/03/2023,,İstanbul,Zeytinburnu,40,260.0,0.5423076923076923
Taycan,Turbo S,ACR MOTORS-2020 BAYİ TURBO S LAZER AKS CARBON AİR SERAMK,2020,95,Lacivert,8600000,27/03/2023,,İstanbul,Ataşehir,40,260.0,0.36538461538461536
911,Turbo S,2011 TURBO S CENTERLOCK KARBON KOLTUK SERAMİK FREN BOYASIZ,2011,575,Beyaz,7550000,27/03/2023,,Ankara,Etimesgut,7,1680.0,0.34226190476190477
Taycan,Turbo,YENİKÖY MOTORS 2020 PORSCHE TAYCAN TURBO - PDCC - BURMESTER,2020,83,Mavi,7050000,27/03/2023,,İstanbul,Sarıyer,40,260.0,0.3192307692307692
Boxster,Boxster,SAHİBİNDEN,1997,1670,Gümüş Gri,1155000,27/03/2023,,Mersin,Yenişehir,58,910.0,1.835164835164835
Boxster,Boxster,HASAR KAYITSIZ ORJİNAL DÜŞÜK KM.,2011,1015,Siyah,2080000,27/03/2023,,Tekirdağ,Süleymanpaşa,73,1680.0,0.6041666666666666
Panamera,Panamera Diesel,"PANAMERA DIESEL ""68.000KM"" MATRIX+VAKUM+20 JANT HATASIZ BOYASIZ",2013,680,Beyaz,4720000,27/03/2023,,Kütahya,Merkez,54,1685.0,0.4035608308605341
Panamera,Panamera Diesel,"""DOĞANAY"" PORSCHE PANAMERA 3.0D 300 HP 2012 ISITMA+SOĞUTMA",2012,1985,Siyah,2550000,27/03/2023,,Konya,Karatay,53,1970.0,1.0076142131979695
Taycan,4S Performance Plus,"2020 PORSCHE TAYCAN 4S PERFORMANCE 14200 KM""DE SİYAH İÇİ KIRMIZI",2020,142,Siyah,5375000,27/03/2023,,Mersin,Yenişehir,58,260.0,0.5461538461538461
911,Carrera 4 GTS,YENİKÖY MOTORS 2015 PORSCHE 911 CARRERA 4 GTS - BOSE - BAYİ,2015,416,Siyah,11650000,27/03/2023,,İstanbul,Sarıyer,40,1280.0,0.325
Panamera,Panamera 4S,ARS MOTORS 2011 PORSCHE PANAMERA 4S CHRONO+4 K. ISITMA HATASIZ,2011,1230,Gri,3125000,27/03/2023,,İstanbul,Beşiktaş,40,1680.0,0.7321428571428571
718,Boxster,MERKAR 2022 PORSCHE 718 BOXSTER SOĞUTMA-CHRONO -BURMESTER-20 JANT,2022,6001,Siyah,6670000,27/03/2023,,İstanbul,Bakırköy,40,1001.0,5.995004995004995
Taycan,Turbo S,ACR MOTORS-2020 BAYİ TURBO S BURMESTR AKS AİR SERAMİK UZT GARANT,2020,105,Siyah,8600000,27/03/2023,,İstanbul,Ataşehir,40,260.0,0.40384615384615385
911,Carrera 4S,2013 Porsche 911 Carrera 4S Cabrio Pdk Chrono Soğutma Bose,2013,980,Beyaz,5650000,27/03/2023,,İstanbul,Bayrampaşa,40,1685.0,0.5816023738872403
Taycan,Turbo S,ELEKTRO MOTORS PORSCHE TAYCAN Turbo-S ROSS KIRMIZI - CARBON,2020,605,Kırmızı,7100000,27/03/2023,,İstanbul,Büyükçekmece,40,260.0,2.326923076923077
Taycan,4S Performance Plus,EYLÜL 2021 DOĞUŞ ÇIKIŞLI VOLKAN GRİ TRUFFLE KAHVE HATASIZ,2021,85,Gri,6125000,27/03/2023,,İstanbul,Kadıköy,40,180.0,0.4722222222222222
Taycan,4S Performance Plus,YENİKÖY MOTORS 2020 PORSCHE TAYCAN 4S P.P. -SPORT DESIGN-SOĞUTMA,2020,220,Mavi,5450000,27/03/2023,,İstanbul,Sarıyer,40,260.0,0.8461538461538461
911,Carrera 4S,REGNUM MOTORS 2013 PORCHE 911 CABRİO CARRERA 4S PDK CHRONO BOSE,2013,520,Beyaz,7650000,27/03/2023,,Ankara,Çankaya,7,1685.0,0.3086053412462908
Panamera,Panamera Diesel,YAŞARLAR AUTO 2012 PANAMERA 190.000KM HATASIZ SOĞUTMA PERDE FULL,2012,1900,Beyaz,3350000,27/03/2023,,Konya,Karatay,53,1970.0,0.9644670050761421
Boxster,Boxster,METHAN 2014 PORSCHE BOXSTER 2.7 PDK İÇİ KIRMIZI BAYİ,2014,2100,Beyaz,2720000,26/03/2023,,İstanbul,Bağcılar,40,1420.0,1.4788732394366197
Taycan,4S Performance Plus,POSH AUTO /// 2020 PORSCHE TAYCAN 4S PERF PLUS ''ARK AKS ISIT+SĞ,2020,350,Gri,4950000,26/03/2023,,İstanbul,Bakırköy,40,260.0,1.3461538461538463
911,Targa 4 GTS,TARGET MOTORS 2022 PORSCHE 911 TARGA 4 GTS,2022,6134,Kırmızı,16950000,26/03/2023,,İstanbul,Beşiktaş,40,1001.0,6.127872127872128
911,Carrera 4S,LİON MOTORS-2019 PRSCH 911CARRERA 4S-SGTM-DSTRNC-­AKS-BRMST-CHRNO,2019,165,Siyah,9475000,26/03/2023,,İstanbul,Kadıköy,40,320.0,0.515625
911,Carrera 4 GTS,TARGET MOTORS 2022 PORSCHE 911 CARRERA 4 GTS,2022,6134,Gümüş Gri,16650000,26/03/2023,,İstanbul,Beşiktaş,40,1001.0,6.127872127872128
Panamera,Panamera 4,2012 PORSCHE PANAMERA 4 V.BARIŞLI SOĞUTMA CHRONO BOSE DISTRONIC,2012,2520,Füme,2300000,26/03/2023,,Ankara,Gölbaşı,7,1970.0,1.2791878172588833
Panamera,Panamera Diesel,SRC MOTORS'dan HATASIZ+TRAMERSİ­Z+MARSHALA+BURMAS­TER+CHORONO+FULL,2012,1740,Beyaz,3650000,26/03/2023,,Antalya,Manavgat,8,1970.0,0.883248730964467
Panamera,Panamera Diesel,PORSCHE PANAMERA CARBON+PUSULA+ARKA BAĞIMSIZ+VERGİ BARIŞLI,2012,1970,Siyah,2350000,26/03/2023,,İstanbul,Bağcılar,40,1970.0,1.0
Cayman,Cayman,TERTEMİZ KUSURSUZ BAYİ,2014,835,Beyaz,3250000,26/03/2023,,İstanbul,Gaziosmanpaşa,40,1420.0,0.5880281690140845
Panamera,Panamera Diesel,2012 MODEL PORCSHE PANAMERA DİESEL ISITMA+SOGU­TMA+PUSULA,2012,1550,Beyaz,3050000,17/04/2023,,Ankara,Akyurt,7,1970.0,0.7868020304568528
718,Cayman,UNAT MOTORS 718,2017,560,Kırmızı,5000000,17/04/2023,,Diyarbakır,Kayapınar,26,850.0,0.6588235294117647
Panamera,Panamera 4 Platinum Edition,ERCAR MOTORS 2022 PORSCHE PANAMERA E-HYBRİD PLATİNİUM EDİTİON,2022,69,Gri,12300000,17/04/2023,,İstanbul,Beşiktaş,40,1001.0,0.06893106893106893
Taycan,4S Performance Plus,-VEGAS MOTORS-2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS 360 CAM,2020,220,Siyah,5750000,17/04/2023,,İstanbul,Kadıköy,40,260.0,0.8461538461538461
Panamera,Panamera Diesel,''GARDEN'' 2012 BEYAZ/BEJ CHRONE 156.000 KM,2012,1560,Beyaz,2580000,17/04/2023,,İstanbul,Ataşehir,40,1970.0,0.7918781725888325
Panamera,Panamera Diesel,Temiz full+full 2012 Panemera,2012,2360,Siyah,2550000,17/04/2023,,Yalova,Merkez,79,1970.0,1.1979695431472082
911,GT3 RS,YENİKÖY MOTORS 2016 PORSCHE 911 GT3 RS - LAVA ORANGE - SERAMİK,2016,69,Turuncu,20750000,17/04/2023,,İstanbul,Sarıyer,40,700.0,0.09857142857142857
Panamera,Panamera Diesel,2014 PORSCHE PANAMERA 3.0 D SUNROOF_ISITMA_H­AFIZA_100.665KM,2014,100665,Siyah,4365000,17/04/2023,,İstanbul,Kadıköy,40,1420.0,70.89084507042253
Panamera,Panamera Diesel,"BOYASIZ, DEĞİŞENSİZ, TRAMERSİZ, BAYİ ÇIKIŞLI, PUSULA, 4K ISITMA",2012,2000,Beyaz,3350000,17/04/2023,,Ankara,Keçiören,7,1970.0,1.015228426395939
Panamera,Panamera Diesel,SAHİBİNDEN 2012 HATASIZ BOYASIZ BAYİ ÇIKIŞLI GARAJ ARABASI,2012,1900,Beyaz,3150000,17/04/2023,,Ankara,Çankaya,7,1970.0,0.9644670050761421
Panamera,Panamera Diesel,GÜLERYÜZ'DEN 2012 PORSCHE PANAMERA 3.0 DİESEL BAYİİ ÇIKIŞLI,2012,1650,Siyah,2350000,17/04/2023,,Mersin,Yenişehir,58,1970.0,0.8375634517766497
Taycan,Turbo S,YENİKÖY MOTORS İZMİR-2020 PORSCHE TAYCAN TURBO S - BUR - DISTRNC,2020,775,Siyah,6750000,17/04/2023,,İzmir,Bayraklı,41,260.0,2.980769230769231
Panamera,Panamera Diesel,ARAÇ HATASIZ BOYASIZ VERGİ BARIŞLI,2011,2210,Beyaz,3175000,16/04/2023,,Antalya,Muratpaşa,8,1680.0,1.3154761904761905
Panamera,Panamera Turbo,ALMAN PLAKA - YABANCIDAN YABANCIYA Porshe TURBO 500 HP,2010,1800,Beyaz,950000,16/04/2023,,Bursa,Nilüfer,21,1420.0,1.267605633802817
Panamera,Panamera Diesel,2012 PANAMERA CARBON VEBASTO+EĞLENCE PAKET+173'KM VERGİ BARIŞ'LI,2012,1730,Beyaz,2735000,16/04/2023,,Bursa,Nilüfer,21,1970.0,0.8781725888324873
Taycan,4S Performance Plus,DIACO UNIVERSAL - 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS-CHRONO,2020,180,Mavi,4740000,16/04/2023,,İstanbul,Beşiktaş,40,260.0,0.6923076923076923
Panamera,Panamera Diesel,EMİRLER OTOMOTİV'DEN Panamera VERGİ BARIŞI YAPILMIŞTIR,2012,2700,Siyah,2550000,16/04/2023,,Ankara,Altındağ,7,1970.0,1.3705583756345177
Taycan,4S Performance Plus,TAYCAN 2022 BAYİ PERFORMANS PLUS 571 HP AİRMATİC YOLCU EKRANI,2022,125,Beyaz,6800000,16/04/2023,,Bursa,Nilüfer,21,1001.0,0.12487512487512488
Cayman,Cayman,2014 PORSCHE CAYMAN 54 BİN KM BAYİ ÇIKIŞLI,2014,540,Siyah,3250000,15/04/2023,,İstanbul,Üsküdar,40,1420.0,0.38028169014084506
Panamera,Panamera Diesel,2014 PANAMERA 3.0 D TİPTRONİC BAYİİ,2014,1590,Siyah,3650000,15/04/2023,,İstanbul,Bağcılar,40,1420.0,1.119718309859155
Taycan,4S Performance Plus,DB OTOMOTİVDEN TAYCAN 4S PERFORMANCE PLUS-ARKA AKS-YOLCU EKRANI,2020,140,Siyah,4675000,15/04/2023,,Adana,Çukurova,1,260.0,0.5384615384615384
Taycan,Taycan,Sahibinden,2021,1185,Siyah,4625000,15/04/2023,,İzmir,Karşıyaka,41,180.0,6.583333333333333
Panamera,Panamera Diesel,2012 V.BARIŞLI 220.000 KM*PUSULA* BOSE*GTS*AİR­MATIC*CARBON GRİ*,2012,219999,Füme,3100000,15/04/2023,,Ankara,Çankaya,7,1970.0,111.6746192893401
Taycan,4S,"2020 Porsche Taycan 4S-Isıtma,Sogu­tma,YolcuEkranı ,Bose,23.500km",2020,235,Beyaz,4795000,15/04/2023,,İstanbul,Sarıyer,40,260.0,0.9038461538461539
Taycan,4S Performance Plus,BAYSILAN'DAN 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS 571 HP,2020,61,Gri,5000000,15/04/2023,,İstanbul,Esenler,40,260.0,0.23461538461538461
Taycan,4S Performance Plus,2021 BAYİİ ÇIKIŞLI ÖZEL SİPARİŞ 450 KM MENZİL,2020,601,Beyaz,6750000,15/04/2023,,İstanbul,Sarıyer,40,260.0,2.3115384615384613
Panamera,Panamera 4S Diesel,AER MOTORS/2017 HATASIZ PANAMERA 4S DİESEL TURBO KANAT-360KAMERA,2017,990,Beyaz,8880000,14/04/2023,,Antalya,Manavgat,8,850.0,1.1647058823529413
Panamera,Panamera 4,"İLK SAHİBİNDEN UZATILMIŞ GARANTİ , VERGİ BARIŞLI",2011,990,Bej,2950000,14/04/2023,,İstanbul,Zeytinburnu,40,1680.0,0.5892857142857143
Taycan,4S Performance Plus,Sahibinden...,2020,270,Siyah,6120000,14/04/2023,,Adana,Ceyhan,1,260.0,1.0384615384615385
Cayman,Cayman,POSH MOTORS_2008 PORSCHE CAYMAN MANUEL-BAYİ ÇIKIŞLI,2008,1440,Siyah,1625000,14/04/2023,,İstanbul,Pendik,40,1350.0,1.0666666666666667
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,765,Siyah,1827000,14/04/2023,,İstanbul,Kadıköy,40,765.0,1.0
911,Carrera 4S,2013 CARREEA 4S 73000 KM SPOR EGZOZ+CHRONO+MOCA DERİ+BOSE+SOGUTM,2013,734,Beyaz,5750000,14/04/2023,,İstanbul,Tuzla,40,1685.0,0.4356083086053412
911,Carrera 4S,"PORSCHE 911 CARRERA 4S BAYİ CHRONO/BOSE/SPOR EG./ISITMA,SOĞUTMA",2019,451,Siyah,9750000,14/04/2023,,İzmir,Karşıyaka,41,320.0,1.409375
Taycan,Turbo S,ÖZEL SİPARİŞ İLK SAHİBİNDEN TAYCAN TURBO S BAYİ-PDCC-S­OĞUTMA-PPF,2020,360,Beyaz,7700000,13/04/2023,,İstanbul,Beşiktaş,40,260.0,1.3846153846153846
Boxster,Boxster,'' ANL MOTORS '' 2011 PORSCHE BOXSTER 2.7 PDK/BAYİ/ISITMA,2011,990,Sarı,2060000,13/04/2023,,İstanbul,Bayrampaşa,40,1680.0,0.5892857142857143
911,Turbo S,tertemiz vergi barışlı,2011,560,Siyah,9500000,13/04/2023,,İstanbul,Beşiktaş,40,1680.0,0.3333333333333333
Panamera,Panamera Diesel,2012-PANEMRE-TAM DOLU-CARBON-BOSE-4 KLTK ISITMA SOGUTMA-G GÖRÜŞ,2012,2400,Siyah,2569000,13/04/2023,,İzmir,Gaziemir,41,1970.0,1.218274111675127
Taycan,4S Performance Plus,2021 BAYİ TAYCAN 4S PERFORMANS PLUS ARKA AKS-22KW SARJ - %18 KDV,2021,61,Lacivert,6299000,13/04/2023,,Ankara,Yenimahalle,7,180.0,0.3388888888888889
911,Carrera,BAYİİ ÇIKIŞLI PORSCHE 911,2005,1460,Gümüş Gri,3250000,13/04/2023,,Adana,Çukurova,1,1405.0,1.0391459074733096
Panamera,Panamera Diesel,Hatasız Porche Panamera air pusula sogutma ısıtma En Dolusu,2012,1620,Beyaz,3000000,13/04/2023,,İstanbul,Eyüpsultan,40,1970.0,0.8223350253807107
Taycan,Turbo,YENİKÖY MOTORS KARTAL 2020 TAYCAN TURBO - PASSENGER DISPLAY,2020,603,Beyaz,6750000,13/04/2023,,İstanbul,Kartal,40,260.0,2.3192307692307694
Panamera,Panamera 4S,Aracımız masrafsizdir takas açik jep tarzi elektrik araçlar,2011,1899,Beyaz,2445000,13/04/2023,,Antalya,Muratpaşa,8,1680.0,1.1303571428571428
Boxster,Boxster,2007 DOĞUŞ ÇIKIŞLI CHRONO+BOSE+IS­ITMA+EGZOZ+LED STOP+MULTİMEDİA,2007,830,Kırmızı,1395000,13/04/2023,,İstanbul,Bağcılar,40,1300.0,0.6384615384615384
Taycan,Turbo,PORSCHE TAYCAN TURBO 680PS EXTRA FULL,2020,190,Siyah,5790000,12/04/2023,,İstanbul,Ataşehir,40,260.0,0.7307692307692307
Panamera,Panamera Diesel,"DOĞUŞ ÇIKIŞLI Matriks far,Adaptif şasi,Keyless access emsalsiz.",2015,2495,Beyaz,4440000,12/04/2023,,Ankara,Çankaya,7,1280.0,1.94921875
Panamera,Panamera Diesel,REDLINE GARAGE 2012 MODEL PORSCHE PANAMERA DIESEL BAYİ,2012,800,Kahverengi,3600000,12/04/2023,,Antalya,Kepez,8,1970.0,0.40609137055837563
Panamera,Panamera Diesel,KUZEY MOTORS - 2013 - YENİ KASA - MARSALA - SGTMA - VKM,2013,1950,Beyaz,2975000,12/04/2023,,İstanbul,Kadıköy,40,1685.0,1.1572700296735905
911,GT3,YENİKÖY MOTORS 2021 PORSCHE GT3 4.0 - LIFTING - SERAMİK,2021,80,Mavi,19350000,12/04/2023,,İstanbul,Sarıyer,40,180.0,0.4444444444444444
Panamera,Panamera Diesel,"C A N K A Y'DAN GTS EDITION-BOYASIZ-TAM DOLU-CARBON -BOSE-SOĞUT
Yetkili Bayi",2012,2080,Beyaz,2895000,12/04/2023,,Ankara,Çankaya,7,1970.0,1.0558375634517767
Panamera,Panamera Diesel,2013 MAKYAJLI KASA VAKUM+BOSE+­ANAHTARSIZ GİRİŞ,2013,2210,Beyaz,2850000,12/04/2023,,Antalya,Muratpaşa,8,1685.0,1.311572700296736
Panamera,Panamera 4S,DOĞUŞ ÇIKIŞLI.HASAR KAYITSIZ.4 ÇEKER. TAKAS OLUR. TAKASLI,2010,3200,Füme,2250000,11/04/2023,,İzmir,Buca,41,1420.0,2.2535211267605635
Panamera,Panamera 4,PORSCHE PANAMERA TERTEMİZ MASRAFSIZ,2012,1730,Beyaz,2450000,11/04/2023,,İstanbul,Ümraniye,40,1970.0,0.8781725888324873
Taycan,Turbo,YENİKÖY MOTORS 2020 TAYCAN TURBO -BURMESTER- PDCC-DISPLAY,2020,78,Siyah,6650000,11/04/2023,,İstanbul,Sarıyer,40,260.0,0.3
Cayman,Cayman,2007 CAYMAN 82.000 KM DOĞUŞ ÇIKIŞLI-BOSE-SPOR EGZ.-CARPLAY,2007,820,Siyah,1590000,11/04/2023,,İstanbul,Sarıyer,40,1300.0,0.6307692307692307
Panamera,Panamera Diesel,PORSCHE PANAMERA DİESEL PUSULA/AIR/ARKA KLİMA CHROME,2012,1980,Siyah,2475000,11/04/2023,,Antalya,Muratpaşa,8,1970.0,1.0050761421319796
Taycan,4S Sport Turismo,2022 PORSCHE TAYCAN 4S SPORT TURİSMO/571 HP/BOSE/YOLCU EKRANI,2022,6005,Beyaz,6999000,11/04/2023,,İstanbul,Beyoğlu,40,1001.0,5.999000999000999
Panamera,Panamera 4,SAHİBİNDEN-H­ATASIZ-BAYİ CIKIŞLI-PANAMERA 4-TAM DOLU-4x4,2011,2290,Beyaz,2470750,11/04/2023,,Sakarya,Sapanca,66,1680.0,1.3630952380952381
Panamera,Panamera Diesel,PORSHE PANAMERA DİZEL KAZASIZ TAM DOLU PUSULA EĞLENCE PAKET..,2012,1860,Beyaz,2750000,10/04/2023,,Bursa,Osmangazi,21,1970.0,0.9441624365482234
Panamera,Panamera Diesel,'MavişMotors'Air­Matic+Soğutma+Ch­orona+Bose+Keyl­ess+Navi+Hatasız,2012,990,Beyaz,3275900,10/04/2023,,İstanbul,Gaziosmanpaşa,40,1970.0,0.5025380710659898
Panamera,Panamera 4S,CİO MOTORS PANAMERA 4S 400HP V8 FACELİFT 21 JANT CHRONO AIRMATIC,2011,950,Beyaz,3695000,10/04/2023,,İzmir,Bornova,41,1680.0,0.5654761904761905
Panamera,Panamera Diesel,BORAM MOTORS'DAN KUSURSUZ TEMİZLİKTE PANAMERA DİESEL,2012,2950,Beyaz,2950000,10/04/2023,,Sivas,Merkez,72,1970.0,1.49746192893401
911,Carrera S,"İLK SAHİBİNDEN DOĞUŞ SERVİS BAKIMLI,57BİN KMTAM ÖTV(VERGİ BARIŞ)",2012,570,Gümüş Gri,6000000,10/04/2023,,İstanbul,Üsküdar,40,1970.0,0.2893401015228426
Taycan,4S,SS MOTORS 2021 TAYCAN 4S-HEAD UP-YOLCU EKRANI-SOĞUTMA-KÖR NOKTA,2021,14656,Siyah,4850000,10/04/2023,,İstanbul,Şişli,40,180.0,81.42222222222222
