seri,model,titles,year,km,color,prices,date,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location""",Il,Ilce,id,km_median,km / median
Panamera,Panamera Diesel,*** ESA MOTORS ***2015 BAYİ MAKYAJLI PANEMERA DİESEL-SOĞUTMA-VKM,2015,900,Siyah,5000000,29/04/2023,,İstanbul,Esenyurt,40,1280.0,0.703125
Panamera,Panamera 4 E-Hybrid,SELÇUKLU OTOMOTİV KONYA TRTEK 2022 BAYİ PANAMERA 4E-HYBRİD 462HP,2022,975,Siyah,15250000,29/04/2023,,Konya,Karatay,53,1001.0,0.974025974025974
Taycan,GTS,SELÇUKLU OTOMOTİV KONYA BAYİİ TAYCAN GTS 598 HP AİRMATİC BOSE,2022,100,Siyah,9250000,29/04/2023,,Konya,Karatay,53,1001.0,0.0999000999000999
Panamera,Panamera Diesel,BOYASIZ 119 BİN KM PLATİNİUM EDİTİON AİR MARSHLA CARBON 4 SOĞTMA,2012,1190,Beyaz,3885000,29/04/2023,,Samsun,Atakum,67,1970.0,0.6040609137055838
Panamera,Panamera Diesel,BAYİ ÇIKIŞLI// 2014 MODEL//MAKYA­JLI//VAKUMLU KAPILAR//ARKA KLiMA,2014,1190,Beyaz,4350000,29/04/2023,,Antalya,Alanya,8,1420.0,0.8380281690140845
Panamera,Panamera Diesel,HATASIZ DOĞUŞ BAYİ PANAMERA +SUNROF+BOSE+HAFIZ­A+4ISITMA+BLUETOTH,2012,2290,Siyah,2990000,29/04/2023,,Antalya,Alanya,8,1970.0,1.1624365482233503
Panamera,Panamera Diesel,acilllĺlll satılıktır,2014,2420,Siyah,4000000,29/04/2023,,Antalya,Konyaaltı,8,1420.0,1.704225352112676
911,Carrera 4,Sahibinden Cok Temiz Porsche 911 Carrera 4,2006,540,Gümüş Gri,3340000,29/04/2023,,Ankara,Çankaya,7,1210.0,0.4462809917355372
Taycan,4 Cross Turismo,"KAPİTAL 2022 BAYİ CHRONO YOLCU EKRANI SOĞUTMA 20""JANT",2022,601,Siyah,6250000,24/04/2023,,İstanbul,Beşiktaş,40,1001.0,0.6003996003996004
Panamera,Panamera 4,!!!'BABACAN AUTODAN PORSCHE PANAMERA KUSURSUZ TEMİZLİKTE!!!,2011,2330,Siyah,2550000,24/04/2023,,Konya,Seydişehir,53,1680.0,1.3869047619047619
