seri,model,titles,year,km,color,prices,date,Il,Ilce,id,km_median,km / median
Taycan,Turbo,DOĞUŞ ÇIKIŞLI HATASIZ BOYASIZ,2020,9500,Beyaz,6070000,2023-04-06,Adana,Sarıçam,1,27000.0,0.35185185185185186
Panamera,Panamera Diesel,AVRASYA GROUP' TAN 2015 PANAMERA VAKUM MATRİX ISITMA SOĞUTMA,2015,119000,Beyaz,4710000,2023-04-06,Ankara,Çankaya,7,136500.0,0.8717948717948718
Panamera,Panamera 4S Diesel,"SAHİBİNDEN 2017 ""PORSCHE PANAMERA 4S DIESEL"" TEBEŞİR GRİ 422 PS",2017,186000,Gri,7000000,2023-04-06,İstanbul,Başakşehir,40,99000.0,1.878787878787879
911,Carrera S,YENİKÖY MOTORS 2022 PORSCHE 911 CARRERA S - BOSE - DISTRONIC,2022,7400,Gri,14500000,2023-04-06,İstanbul,Sarıyer,40,26211.5,0.28231882952139326
Panamera,Panamera Diesel,DURAN MOTORS'DAN 2012 PORSCHE PANAMERA BAYİİİİ BOYASIZ,2012,246000,Beyaz,3299900,2023-04-06,Ankara,Akyurt,7,205000.0,1.2
Taycan,4S Performance Plus,POYRAZDAN 2020 PORSCHE TAYCAN 4S BAYİ PERFORMANCE PLUS-İÇ KIRMIZ,2020,21000,Beyaz,5700000,2023-04-06,Antalya,Kepez,8,22000.0,0.9545454545454546
Panamera,Panamera Diesel,cars of FERRO 2012 PORSCHE PANAMERA ISITMA SOĞUTMA AİR CHRONO,2012,268000,Siyah,2700000,2023-04-06,İstanbul,Beşiktaş,40,205000.0,1.3073170731707318
Panamera,Panamera 4,Nihat.tan Panemera 4 V6 3.6 otomatik çok temiz bakımlı,2011,191200,Beyaz,2349500,2023-04-06,Kırklareli,Babaeski,50,170000.0,1.1247058823529412
Panamera,Panamera Diesel,SAHİBİNDEN BAYİ ÇIKIŞ MATRİX FAR FUL,2015,135000,Beyaz,4250000,2023-04-06,Şanlıurfa,Karaköprü,68,136500.0,0.989010989010989
Panamera,Panamera 4,2011 PANAMERA PDK + BOSE + PUSULA + CARBON DİREKSİYON,2011,170000,Siyah,3010000,2023-04-06,Antalya,Serik,8,170000.0,1.0
Panamera,Panamera Diesel,HATASIZ MAKYAJLI-AIRMATI­C-BOSS-CHRONO-V­AKUM-SOGUTMA-360,2013,149000,Beyaz,3850000,2023-04-06,Konya,Selçuklu,53,178000.0,0.8370786516853933
Taycan,4S Performance Plus,cars of FERRO PORSCHE TAYCAN 4S PERFORMANCE PLUS HEAD-UP 571HP,2020,100,Füme,5544000,2023-04-06,İstanbul,Beşiktaş,40,22000.0,0.004545454545454545
Panamera,Panamera Diesel,"KAZASI YOK, DEĞİŞENİ BOYASI YOK,TRAMER KAYDI YOK, ORJİNAL...",2013,156000,Siyah,3199000,2023-04-06,Bursa,Nilüfer,21,178000.0,0.8764044943820225
Panamera,Panamera Diesel,Sıfırdan tek farkı model yılı,2012,270000,Beyaz,2650000,2023-04-06,Bursa,Gemlik,21,205000.0,1.3170731707317074
911,Carrera 4S,2007 MODEL DOĞUŞ ÇIKIŞLI CHORONO SAAT BOSE SES SİTEMİ BAKIMLI,2007,141000,Gri,2325000,2023-04-05,Ankara,Akyurt,7,130000.0,1.0846153846153845
Panamera,Panamera S,2010 PORSCHE PANAMERA S BAYİİ PDK HATASIZ 142.000 KM VADE OLUR,2010,142000,Beyaz,3050000,2023-04-05,İstanbul,Bağcılar,40,142000.0,1.0
Taycan,Turbo,ZENO MOTORS 2020 PORSCHE TAYCAN TURBO ÖZEL KARMİN KIRMIZI,2020,17500,Kırmızı,5950000,2023-04-05,İstanbul,Küçükçekmece,40,27000.0,0.6481481481481481
Panamera,Panamera 4 Platinum Edition,EKİNCİLER'DEN BAYİ 2023 PANAMERA 4 PLATİNUM EDİTİON+AİRMATİC+FUL,2022,6200,Siyah,14950000,2023-04-05,İstanbul,Bağcılar,40,7000.0,0.8857142857142857
Panamera,Panamera 4,MGS AUTO 2011 PORSCHE PANAMERA 4 ISITMA&SOGUTMA AIRMATIC BOSE,2011,137980,Beyaz,2890000,2023-04-05,İstanbul,Avcılar,40,170000.0,0.8116470588235294
Panamera,Panamera Diesel,2014 MAKYAJLI PORSCHE PANAMERA BAYİ ÇIKIŞLI 96 BİN KM,2014,96000,Beyaz,4360000,2023-04-05,Ankara,Çankaya,7,155000.0,0.6193548387096774
911,Carrera 4S,EA MOTORS 2012 19 BİNKM CARRERA 4S SOGUTMA BOSE KEYLESS SPOR EGZ,2012,19000,Beyaz,6100000,2023-04-05,İstanbul,Bakırköy,40,66000.0,0.2878787878787879
Panamera,Panamera 4S,CABİR'DEN 2018 PORSCHE PANAMERA 4S 2.9 44.000KM'DE HATASIZ,2018,44000,Siyah,8400000,2023-04-05,İstanbul,Bahçelievler,40,50800.0,0.8661417322834646
Panamera,Panamera Diesel,2014 ÇIKIŞLI MAKYAJLI YENİ KASA PANAMERA BAYİİ,2013,220000,Beyaz,3500000,2023-04-05,İstanbul,Bağcılar,40,178000.0,1.2359550561797752
Panamera,Panamera Diesel,TAV MOTORS'DAN TR TEK 2013 PLATİNUM CHORONE BOYASIZ İÇi KIRMIZI,2013,134000,Beyaz,4099000,2023-04-05,İstanbul,Gaziosmanpaşa,40,178000.0,0.7528089887640449
Taycan,4S Performance Plus,BLC AUTO'DAN 21 ÇIKIŞLI PORSCHE TAYCAN 4S PERFORMANCE PLUS BAYİ,2020,19900,Beyaz,5950000,2023-04-05,Mersin,Yenişehir,58,22000.0,0.9045454545454545
911,Carrera 4S,^ÇAPOĞLU^ ---Carrera 4 S---,2007,130000,Siyah,2645000,2023-04-05,İstanbul,Esenyurt,40,130000.0,1.0
Panamera,Panamera 4,Rocco Motors 2011 PANAMERA 4 BOYASIZ 183.000 KM VERGİ BARIŞLI,2011,183000,Beyaz,2750000,2023-04-05,Ankara,Akyurt,7,170000.0,1.076470588235294
Panamera,Panamera Diesel,ONR'DEN 2012 MODEL PORSCHE PANAMERA DİESEL,2012,164000,Beyaz,3200000,2023-04-05,Düzce,Merkez,27,205000.0,0.8
Panamera,Panamera 4,İSMAİL ALTIN:2011 PANAMERA 4 4K ISITMA-SOĞT­MA-AİRMATİC BARIŞLI,2011,138000,Beyaz,2890000,2023-04-05,İstanbul,Esenyurt,40,170000.0,0.8117647058823529
Panamera,Panamera 4S Diesel,DOĞUŞ ÇIKIŞLI SAHİBİNDEN,2017,129000,Siyah,8950000,2023-04-05,İstanbul,Pendik,40,99000.0,1.303030303030303
Taycan,Turbo S,2020 PORSCHE TAYCAN TURBO S SERAMİK-BURMESTER,2020,6100,Gri,6500000,2023-04-05,Ankara,Çankaya,7,29000.0,0.2103448275862069
718,Boxster T,"2020 25,000 km de",2020,25650,Gri,4671000,2023-04-05,Antalya,Alanya,8,25650.0,1.0
Taycan,4S Performance Plus,ERFA PREMIUM 2020 TAYCAN ARKAKS-INNODRIVE-­ISTMA-SGTMA-YLCU EKRAN,2020,9000,Füme,5050000,2023-04-05,İstanbul,Ataşehir,40,22000.0,0.4090909090909091
Boxster,Boxster,SAHİBİNDEN 2008 BOXSTER CHRONO PAKET ÖZEL İÇ RENK,2008,109000,Siyah,1525000,2023-04-05,Balıkesir,Ayvalık,12,135000.0,0.8074074074074075
